-1,988270893918179e-015
0,000000000000000e+000
-2,403119702153475e-015
-1,636885028818664e-015
-8,770506566443764e-016
-8,325700309049375e-016
1,999999999999998e+000
1,999999999999998e+000
1,999999999999998e+000
1,999999999999998e+000
1,999999999999999e+000
1,999999999999999e+000
3,999999999999998e+000
3,999999999999997e+000
3,999999999999997e+000
3,999999999999999e+000
4,000000000000000e+000
3,999999999999999e+000
5,999999999999995e+000
5,999999999999994e+000
5,999999999999994e+000
0,000000000000000e+000
0,000000000000000e+000
0,000000000000000e+000
7,999999999999994e+000
7,999999999999994e+000
7,999999999999994e+000
0,000000000000000e+000
0,000000000000000e+000
0,000000000000000e+000
9,999999999999995e+000
9,999999999999993e+000
9,999999999999993e+000
0,000000000000000e+000
0,000000000000000e+000
0,000000000000000e+000
